1
D6 H6
D8 H8
C3 G3
I3 M3
H10 L10
F11 H11
N12 N12
B1 B1
C8 G8
D3 D7
G12 M12
B3 B5
C10 E10
I9 I11
L4 L4
C1 C1
I10 M10
I10 G5
L3 M4
D5 C12
N12 N2
L4 N4
B1 L11
D5 C2
E3 M11
B4 N2
E3 F11
E8 N11
E3 B4
I12 I1
F6 N9
E8 A7
F6 L10
I12 L8
N2 C1
C1 F5
G11 C5
E8 G10
E3 I5
N4 B10
E3 A6
D5 G10
E3 E6
I12 N12
C1 D10
D5 H9
D10 H5
D5 M5
L11 G12
F5 N9
E3 B11
E8 D7
F6 F1
N9 F3
G12 C4
I12 E11
M4 C9
B10 I6
M10 D1
F3 C1
C4 C4
D10 C9
F6 N3
G5 B5
C4 E7
D5 M4
C9 M5
N2 F11
E7 L8
I6 F6
E3 D1
F11 H7
E3 G6
F6 B1
H5 H11
B1 H4
F6 M5
I12 N5
M5 I3
E8 M4
C5 B5
B5 C4
E3 G8
E8 M11
F8 H7
C9 D11
I3 G9
D5 B12
B5 L4
I12 I10
L8 M10
D5 E7
H11 L9
C4 C4
G9 L11
E8 F10
F6 L6
D5 B6
D1 G7
D5 F5
G7 B4
H4 A2
M10 B10
D5 B3
E3 E4
D11 I1
F6 A1
D5 M7
B4 H7
C1 B1
H7 B6
D5 M9
E3 G6
B1 B7
B10 F11
B7 I10
B6 E2
A2 E9
F11 H5
H7 E11
E2 E1
E9 H11
L4 H4
I1 I7
L11 D2
I10 F4
F8 G7
E11 N4
H5 I10
D5 A5
I10 I9
I12 E4
L9 H10
C4 L10
H10 N8
D5 A9
D2 B5
I12 B9
H4 L4
E8 C3
L4 I4
H11 H1
F6 E7
L10 A9
F6 D8
H1 N2
F6 C11
A9 D11
I4 H1
N2 E3
B5 C5
E3 M9
E3 I7
F4 A12
N8 D4
E8 M2
I9 N4
M9 M2
F6 D10
M2 M4
E1 L11
N4 H5
L11 E9
I7 B4
D4 L2
E8 B6
E9 H11
I12 A6
N4 I6
I12 A10
L2 N10
H5 M10
I6 F1
D11 E2
E3 F5
B4 C11
C5 B6
M10 I6
H1 I9
E8 B1
F6 M2
E8 D12
E3 H8
I12 F7
E3 N7
I6 B7
F1 H2
M4 I4
F8 H4
D5 M6
F8 D12
A12 I2
E3 I6
I2 B9
N10 H12
B7 H10
B6 L5
I12 I3
E3 F7
B9 N11
F6 M1
E8 G1
H11 H7
E2 B8
E3 F1
I12 N7
L5 H1
D5 I7
I9 D10
B8 C4
F8 C10
C11 F3
H2 M7
N11 E6
H12 M9
E6 B8
F8 D12
D5 B3
H7 H9
B8 F12
F8 A5
F3 L2
H9 H4
D5 H11
E3 D3
E8 B8
H1 C4
I12 A4
D10 G9
C4 A11
M9 L3
E8 I3
G9 L6
A11 N4
H4 C10
N4 C2
C10 F7
F12 A1
C4 I4
H10 D10
I4 H11
I4 A7
F7 C10
A7 G6
L6 M2
I12 D2
F8 I9
D10 I7
L3 F1
G6 N6
E3 A4
C2 A7
M2 B11
I12 N4
F6 I6
A7 E5
M7 L11
A1 A1
C10 L12
N6 I4
F1 N9
A1 G11
F6 L4
D5 A7
F8 L1
E5 B3
H11 M6
B3 E5
E3 C12
E5 C5
L12 B10
I4 A4
N9 C9
D5 M3
B11 I10
D5 M7
I10 G12
L2 B11
E3 E2
B11 L3
G12 C11
L3 E12
L11 H5
A4 N6
M6 D7
G11 H11
B10 L7
C5 G5
C9 G5
G5 N10
D7 C1
I12 M5
L7 I9
D5 C1
F8 H12
E8 I12
H5 D9
N10 A10
D9 M5
E8 A11
C11 E4
H11 H11
G5 A10
I12 F9
F8 I5
D5 F1
E4 I12
I12 I9
C1 C1
E12 L2
A10 E9
A10 A11
I9 F4
H11 A8
E3 E8
E8 G8
I12 G1
A8 F6
M5 A2
N6 L5
F6 A12
E8 L5
C1 C4
L5 M7
F4 C9
E8 H1
C9 M1
D5 B5
F6 A11
L2 G11
E9 D5
M7 B4
E3 D9
G11 M8
G1 L8
M8 G2
D5 N7
B4 L4
N7 L4
E8 E8
L8 L5
L4 N12
F8 G1
E8 G1
L4 G10
G2 G7
A2 D10
D5 L8
C4 H12
I12 A2
M1 D12
F6 G10
L5 L2
G7 M6
L2 E1
E8 A2
H12 L1
M6 I1
F8 G12
I12 M10
D10 B2
N12 C2
G10 H5
E8 C10
F6 H10
D5 N1
F8 F11
I1 B12
D12 F12
I12 D4
F6 A4
E8 N4
L1 D9
C2 D12
F12 G4
G10 N6
F6 F10
D12 I7
F8 I4
I7 L5
H5 H12
D5 F11
F6 L9
I12 N4
D9 L3
I12 A8
G4 B9
L5 B1
E1 M6
D5 E10
B9 C5
B1 N8
B2 F2
N8 B8
F2 B12
B8 N8
H12 N1
D5 C4
M6 L8
N8 N7
B12 N6
E8 E5
E3 L7
E8 H4
L8 G12
N7 D12
F8 G10
B12 M8
C5 F7
M8 L5
E3 A4
N6 B4
F8 D11
D5 M10
F7 C12
I12 H12
G12 H5
D5 N9
F6 M10
I12 M10
L3 M12
D12 L7
C12 I7
I12 G9
F6 M8
L7 C1
E3 H12
B4 M8
N6 N11
D5 M9
M12 H12
E8 N9
F8 N11
C1 G3
F8 I4
G3 G10
H5 I3
D5 L12
F8 C1
I12 N8
N11 N3
M8 M6
E3 N11
D5 A9
I7 C7
