C10 G10
B8 F8
M7 M11
E12 G12
E3 G3
A6 A8
G9 G9
N6 N6
A1 A5
B1 B5
C1 C5
D1 D3
E1 E3
F1 F3
H11 H11
H12 H12
N6 I2
a1 i2
D8 B8
a1 g9
F12 I5
a1 h5
M9 B3
a1 f5
A7 L10
a1 i5
D8 B3
a1 l5
D8 N6
a1 m7
E10 M7
a1 m8
E10 G12
a1 m9
E10 G7
a1 m10
M9 C3
a1 m11
F3 F9
h12 f6
F9 M3
d1 d2
E10 F11
a1 n3
D8 M8
a1 l3
E10 M9
a1 m3
E10 C11
a1 l9
D8 I11
a1 m10
D8 I6
a1 m11
L10 A4
a1 g10
E10 D12
a1 f10
D8 N7
a1 e10
D8 C11
a1 D10
D8 L3
a1 C10
A4 L5
a1 l5
D8 E1
a1 l6
D8 E11
a1 f8
D8 F7
a1 e8
D8 F4
a1 d8
D8 N4
a1 c8
D8 I2
a1 b8
