I7 I11
D3 D7
G2 M2
B2 B6
F4 F8
F10 L10
I1 M1
E7 G7
B12 D12
M6 M8
L5 L7
I2 I4
E10 E10
M4 M4
C6 C6
A12 A12
D5 N1
A12 I1
D5 I4
L6 N7
D5 G2
M7 M7
D5 G9
I1 H2
M4 I12
B4 M12
L1 H6
H10 N3
F7 G12
B4 F1
I9 I8
H2 I9
G12 F8
C6 E11
E10 N4
H10 M8
C12 M10
I9 D8
I12 D9
H10 D7
F8 B4
E11 N5
D5 G1
B4 F1
H6 C11
B4 D4
B4 E8
D8 D2
C11 G9
N5 A1
N4 M1
B4 B11
D5 A7
F6 G2
E8 G8
B4 M9
M1 M7
I3 E3
D5 H2
F6 A5
D5 G4
B4 B7
D5 B8
D2 I6
G9 D11
F6 E6
D9 M5
H10 H7
M10 L1
N7 L6
D11 D8
A1 L9
M7 B8
L9 I3
I2 L3
L6 A2
M5 M8
A2 D4
L1 M1
D4 D10
I2 D9
F6 G3
G8 M9
I6 E5
I9 H5
D10 E8
M9 H3
E3 N7
I9 I5
M7 L4
D8 E12
E5 H7
E12 G8
F6 L12
B8 G6
E8 D9
M1 M5
L4 M5
D5 A5
N7 G3
M5 L5
H10 B3
D5 D8
F6 D4
G6 F1
H10 N8
I2 I6
I3 D5
I9 B4
H10 C10
D5 M1
D9 B10
F1 M10
B10 C4
L5 B5
H10 N6
M10 N4
D5 B10
D5 G10
B4 A8
M8 B8
M5 D8
I2 F6
B10 A4
I2 D11
A4 N8
D5 C5
H10 I3
D5 E11
H7 F2
B8 H5
N8 L12
B5 D10
B4 E6
G8 B5
D8 D9
H3 G11
F6 L9
G11 F5
F2 M5
D5 M6
M5 I1
D10 B11
C4 L4
D5 A10
B4 E1
F5 C12
B4 D6
B11 H1
B4 N9
H5 E5
B4 L4
I9 L2
D9 M3
I9 E7
L12 D10
N4 C1
D10 L2
E5 E3
F6 N5
C12 E1
I1 H12
B5 M4
M3 M10
C1 G5
B4 B11
I9 D10
L2 M8
G5 C10
M10 M11
H1 G5
L4 C3
I9 B10
M8 H3
G5 M8
H3 A7
M8 G4
F6 B12
E1 E9
H12 E2
E9 H6
G3 M4
M4 B5
F6 I10
H6 D2
C3 H5
C10 E7
E2 L6
I9 L10
M4 E4
E7 B1
E4 H8
B5 B10
M11 A9
I9 D11
H5 C7
B10 D1
H10 B12
D5 E1
H10 C2
B1 H3
A9 A3
E3 M6
C7 C3
I9 E3
A3 D3
G4 M10
C3 M9
I2 H4
H8 E4
D5 G11
E4 N3
M10 F11
M9 N9
I9 C7
F6 H10
D2 M5
H10 M5
H3 H3
D3 H8
F11 M8
A7 D11
D1 G9
D11 I5
I2 E10
F6 M1
H3 M4
H10 M10
I9 M3
N9 E5
I2 E3
I5 F12
I2 D8
H10 H4
I2 I4
F6 I8
M4 I4
H8 C3
M8 G11
F12 C11
M6 E8
H10 L1
D5 L10
L6 B7
I2 C6
H10 H5
E8 A3
B4 F3
G11 I3
C3 C6
I2 I4
B4 D2
D5 A12
H10 I6
A3 G11
B4 A8
I2 F6
C6 M3
I4 A8
C11 N6
A8 M9
F6 D12
I9 C10
N6 C1
M9 F10
M3 H5
I3 B3
F6 N2
D5 I10
B7 A2
I9 A5
C1 D6
I2 M8
F6 M5
M5 E12
B4 H7
D5 B10
D6 D3
G9 E8
D3 G7
I2 I7
A2 N1
I9 D8
N3 L6
D5 B6
B4 D7
E12 H1
H5 N3
D5 C3
G7 I3
H1 F12
E5 M6
B3 B1
L6 A5
G11 M11
N3 L2
E8 M3
H10 B3
M11 I5
A5 M9
B1 H3
N1 C4
H3 E11
C4 C4
I2 B7
M9 D11
M3 M7
F6 N8
F10 I3
B4 I12
E11 M6
I3 M10
D5 A7
H10 N10
I9 D6
B4 N10
I9 M12
M10 F9
D5 G10
D11 H3
I5 B11
H10 D12
I3 L9
F6 C4
L9 N1
F9 H8
M6 F5
H8 C5
D5 F6
H3 M2
M7 G8
M2 A5
F12 B8
M6 D7
I2 I9
H10 M12
F5 I3
A5 G2
N1 M10
G2 C9
I2 E7
C5 A2
I3 C12
C9 A11
B8 H5
A2 M8
B11 B7
D7 A4
B7 F3
A11 A9
H5 D8
M8 N1
D5 G3
N1 M2
I2 I12
F6 I9
M10 H6
B4 I5
H6 G7
L2 H6
F3 H1
B4 B12
I9 G1
B4 B3
H1 M12
A9 C2
I2 M6
F6 I9
M12 E6
F6 M3
C12 E11
H6 E7
D5 B9
H10 H2
D5 C2
E7 L4
I2 M4
C4 H9
D5 D8
C2 N2
D5 M4
B4 A10
I9 N3
A4 E11
E11 E9
E11 I7
I2 B10
M2 A4
E9 I6
N2 E6
I6 L12
H9 A11
I9 F10
E6 C3
E6 M5
B4 A10
M5 F6
B4 D12
I2 C12
H10 C3
I2 I10
F6 E11
G8 F1
A11 F1
D5 G1
L4 H7
F6 G6
B4 G3
G6 G11
I7 L3
D5 A4
F1 G2
I9 C3
C3 B9
I2 L5
L3 E9
G7 N3
B9 F2
I2 F1
G2 F9
L12 F4
F9 L4
N3 L9
F6 C5
F4 B9
E9 D2
I9 A2
B4 L12
F1 C1
H7 A7
G11 C10
H10 L5
C1 I3
F6 D6
I3 G4
F6 H2
D8 M3
B4 H5
C10 N7
H10 N4
I2 L4
H10 D2
I2 F1
F6 H7
M3 E10
A7 D10
N7 G5
D10 C11
B9 M8
D2 A5
G4 D12
B4 F1
I9 D2
C11 I3
I2 L11
I3 C11
E10 G4
F6 C7
D12 C8
B4 C1
D5 N7
B4 G1
L9 D2
F6 M3
G4 I5
F6 G12
G5 B5
A5 D10
D2 C4
F6 E10
I2 B4
D10 H8
B5 D10
B4 N11
C8 I4
F6 F12
D5 E9
C11 L6
M8 E2
H10 C1
I5 B7
L6 A9
I2 D7
H8 D10
D5 E11
F6 I2
I2 B10
F6 I7
I4 L5
B4 F9
C4 B11
F6 G6
D5 I5
D10 M5
D5 D11
A9 E7
I9 B4
H10 M10
I2 G10
M5 D7
B11 B12
B4 L4
B7 L3
B4 F9
I9 B12
E7 G8
L5 G12
D7 H4
I9 M3
F6 A6
I2 L3
G8 D8
G12 F12
H4 N11
I9 B4
N11 C4
L3 H1
D8 E5
I2 F9
H10 I1
D5 F6
E5 L7
E2 E9
H10 G2
F12 G11
C4 D5
D10 C6
H10 I1
B12 F10
D5 I2
I2 C10
F6 F4
G11 F8
L7 C2
C6 F6
H10 M3
D5 D4
I2 H2
I9 G10
C2 N10
F6 L9
F6 I4
L9 M10
H10 D8
D5 D2
N10 L7
D5 A12
H10 E3
F8 C1
H2 D6
C1 E1
B4 C4
F10 E11
L7 D3
E11 H11
D6 A7
I9 I1
H10 I4
H11 E10
F6 F8
M10 A2
F6 D2
E9 F8
H10 D7
I9 E8
H10 A8
A2 A7
H10 A3
H1 M11
A7 C11
A7 F9
F6 D9
D5 N8
H10 B3
M11 B4
D3 B9
E1 G3
B9 L5
I9 A3
C11 M8
D5 I12
L5 C11
F9 I6
C11 D4
G3 F3
H10 C3
I2 G7
B4 F1
I2 C10
B4 G3
F3 G7
H10 E11
F8 M5
M8 A5
E10 G4
B4 N9
G7 D1
H10 C3
B4 E10
H10 H7
M5 H5
B4 N6
I9 F11
D4 E10
D1 B12
B4 M2
I9 A2
F6 L4
H5 C9
F6 M1
I9 M6
F6 N1
D5 B7
A5 E2
I6 L3
F6 D1
B12 M6
F6 B4
D5 A6
E10 E7
E10 I1
E7 L3
I1 M5
H10 A2
D5 B6
H10 N3
G4 H4
L3 A10
M6 D12
A10 A2
M5 C2
B4 L12
D5 M10
A2 N9
D5 I4
E2 M7
D12 B12
B4 M9
I2 A10
F6 C6
I2 G8
F6 N12
H4 E9
H10 A10
C2 H1
F6 L3
B12 F10
